batch_id,symbol,timeframe,indicator,params,sharpe,return_pct,max_dd,win_rate,trades
full_backtest_20260219_130558,US.AAPL,5m,VWAP_Reversal,{},,0.0,0.0,0.0,0
full_backtest_20260219_130558,US.AAPL,1h,VWAP_Reversal,{},,0.0,0.0,0.0,0
full_backtest_20260219_130558,US.AAPL,1d,VWAP_Reversal,{},,0.0,0.0,0.0,0
full_backtest_20260219_130558,US.ADBE,5m,VWAP_Reversal,{},,0.0,0.0,0.0,0
full_backtest_20260219_130558,US.ADBE,1h,VWAP_Reversal,{},,0.0,0.0,0.0,0
full_backtest_20260219_130558,US.ADBE,1d,VWAP_Reversal,{},,0.0,0.0,0.0,0
full_backtest_20260219_130558,US.AMD,5m,VWAP_Reversal,{},,0.0,0.0,0.0,0
full_backtest_20260219_130558,US.AMD,1h,VWAP_Reversal,{},,0.0,0.0,0.0,0
full_backtest_20260219_130558,US.AMD,1d,VWAP_Reversal,{},,0.0,0.0,0.0,0
full_backtest_20260219_130558,US.AMZN,5m,VWAP_Reversal,{},,0.0,0.0,0.0,0
full_backtest_20260219_130558,US.AMZN,1h,VWAP_Reversal,{},,0.0,0.0,0.0,0
full_backtest_20260219_130558,US.AMZN,1d,VWAP_Reversal,{},,0.0,0.0,0.0,0
full_backtest_20260219_130558,US.AVGO,5m,VWAP_Reversal,{},,0.0,0.0,0.0,0
full_backtest_20260219_130558,US.AVGO,1h,VWAP_Reversal,{},,0.0,0.0,0.0,0
full_backtest_20260219_130558,US.AVGO,1d,VWAP_Reversal,{},,0.0,0.0,0.0,0
full_backtest_20260219_130558,US.COIN,5m,VWAP_Reversal,{},,0.0,0.0,0.0,0
full_backtest_20260219_130558,US.COIN,1h,VWAP_Reversal,{},,0.0,0.0,0.0,0
full_backtest_20260219_130558,US.COIN,1d,VWAP_Reversal,{},,0.0,0.0,0.0,0
full_backtest_20260219_130558,US.CRM,5m,VWAP_Reversal,{},,0.0,0.0,0.0,0
full_backtest_20260219_130558,US.CRM,1h,VWAP_Reversal,{},,0.0,0.0,0.0,0
full_backtest_20260219_130558,US.CRM,1d,VWAP_Reversal,{},,0.0,0.0,0.0,0
full_backtest_20260219_130558,US.GOOG,5m,VWAP_Reversal,{},,0.0,0.0,0.0,0
full_backtest_20260219_130558,US.GOOG,1h,VWAP_Reversal,{},,0.0,0.0,0.0,0
full_backtest_20260219_130558,US.GOOG,1d,VWAP_Reversal,{},,0.0,0.0,0.0,0
full_backtest_20260219_130558,US.GOOGL,5m,VWAP_Reversal,{},,0.0,0.0,0.0,0
full_backtest_20260219_130558,US.GOOGL,1h,VWAP_Reversal,{},,0.0,0.0,0.0,0
full_backtest_20260219_130558,US.GOOGL,1d,VWAP_Reversal,{},,0.0,0.0,0.0,0
full_backtest_20260219_130558,US.META,5m,VWAP_Reversal,{},,0.0,0.0,0.0,0
full_backtest_20260219_130558,US.META,1h,VWAP_Reversal,{},,0.0,0.0,0.0,0
full_backtest_20260219_130558,US.META,1d,VWAP_Reversal,{},,0.0,0.0,0.0,0
full_backtest_20260219_130558,US.MSFT,5m,VWAP_Reversal,{},,0.0,0.0,0.0,0
full_backtest_20260219_130558,US.MSFT,1h,VWAP_Reversal,{},,0.0,0.0,0.0,0
full_backtest_20260219_130558,US.MSFT,1d,VWAP_Reversal,{},,0.0,0.0,0.0,0
full_backtest_20260219_130558,US.MSTR,5m,VWAP_Reversal,{},,0.0,0.0,0.0,0
full_backtest_20260219_130558,US.MSTR,1h,VWAP_Reversal,{},,0.0,0.0,0.0,0
full_backtest_20260219_130558,US.MSTR,1d,VWAP_Reversal,{},,0.0,0.0,0.0,0
full_backtest_20260219_130558,US.MU,5m,VWAP_Reversal,{},1.7151851859523146,0.11900406623925308,0.018433690476096536,0.0,2
full_backtest_20260219_130558,US.MU,1h,VWAP_Reversal,{},1.6275746513376712,0.11867495146777962,0.01879828683856849,0.0,2
full_backtest_20260219_130558,US.MU,1d,VWAP_Reversal,{},,0.0,0.0,0.0,0
full_backtest_20260219_130558,US.NFLX,5m,VWAP_Reversal,{},,0.0,0.0,0.0,0
full_backtest_20260219_130558,US.NFLX,1h,VWAP_Reversal,{},,0.0,0.0,0.0,0
full_backtest_20260219_130558,US.NFLX,1d,VWAP_Reversal,{},,0.0,0.0,0.0,0
full_backtest_20260219_130558,US.NVDA,5m,VWAP_Reversal,{},,0.0,0.0,0.0,0
full_backtest_20260219_130558,US.NVDA,1h,VWAP_Reversal,{},,0.0,0.0,0.0,0
full_backtest_20260219_130558,US.NVDA,1d,VWAP_Reversal,{},,0.0,0.0,0.0,0
full_backtest_20260219_130558,US.ORCL,5m,VWAP_Reversal,{},,0.0,0.0,0.0,0
full_backtest_20260219_130558,US.ORCL,1h,VWAP_Reversal,{},,0.0,0.0,0.0,0
full_backtest_20260219_130558,US.ORCL,1d,VWAP_Reversal,{},,0.0,0.0,0.0,0
full_backtest_20260219_130558,US.QCOM,5m,VWAP_Reversal,{},,0.0,0.0,0.0,0
full_backtest_20260219_130558,US.QCOM,1h,VWAP_Reversal,{},,0.0,0.0,0.0,0
full_backtest_20260219_130558,US.QCOM,1d,VWAP_Reversal,{},,0.0,0.0,0.0,0
full_backtest_20260219_130558,US.TSLA,5m,VWAP_Reversal,{},,0.0,0.0,0.0,0
full_backtest_20260219_130558,US.TSLA,1h,VWAP_Reversal,{},,0.0,0.0,0.0,0
full_backtest_20260219_130558,US.TSLA,1d,VWAP_Reversal,{},,0.0,0.0,0.0,0
full_backtest_20260219_130558,US.TSM,5m,VWAP_Reversal,{},,0.0,0.0,0.0,0
full_backtest_20260219_130558,US.TSM,1h,VWAP_Reversal,{},,0.0,0.0,0.0,0
full_backtest_20260219_130558,US.TSM,1d,VWAP_Reversal,{},,0.0,0.0,0.0,0
full_backtest_20260219_130558,US.TXN,5m,VWAP_Reversal,{},,0.0,0.0,0.0,0
full_backtest_20260219_130558,US.TXN,1h,VWAP_Reversal,{},,0.0,0.0,0.0,0
full_backtest_20260219_130558,US.TXN,1d,VWAP_Reversal,{},,0.0,0.0,0.0,0
full_backtest_20260219_130558,US.UBER,5m,VWAP_Reversal,{},,0.0,0.0,0.0,0
full_backtest_20260219_130558,US.UBER,1h,VWAP_Reversal,{},,0.0,0.0,0.0,0
full_backtest_20260219_130558,US.UBER,1d,VWAP_Reversal,{},,0.0,0.0,0.0,0
full_backtest_20260219_130558,US.AAPL,5m,VolatilityRatio_Trend,{},-2.579500781171305,-0.06330326986988721,0.1144372775329281,0.07432432432432433,148
full_backtest_20260219_130558,US.AAPL,1h,VolatilityRatio_Trend,{},-0.4494288391512964,-0.01194457068679522,0.062461537341865485,0.19791666666666666,96
full_backtest_20260219_130558,US.AAPL,1d,VolatilityRatio_Trend,{},-2.782908522211995,-0.24357900084948336,0.27352661681489393,0.07894736842105263,38
full_backtest_20260219_130558,US.ADBE,5m,VolatilityRatio_Trend,{},-6.952007270250358,-0.08644156679615711,0.09715778544042435,0.10869565217391304,138
full_backtest_20260219_130558,US.ADBE,1h,VolatilityRatio_Trend,{},-0.4042115283596473,-0.010291176454629847,0.07122867763399729,0.15384615384615385,104
full_backtest_20260219_130558,US.ADBE,1d,VolatilityRatio_Trend,{},-1.5526019198584267,-0.1278549164599807,0.16846835777970756,0.16666666666666666,24
full_backtest_20260219_130558,US.AMD,5m,VolatilityRatio_Trend,{},-5.326116905135432,-0.09573068857670453,0.10761982293052234,0.11016949152542373,118
full_backtest_20260219_130558,US.AMD,1h,VolatilityRatio_Trend,{},-2.9909437206102636,-0.039566324627313576,0.04577704014393807,0.19,100
full_backtest_20260219_130558,US.AMD,1d,VolatilityRatio_Trend,{},-0.39212836452849603,-0.07117627538653282,0.21533639049058323,0.13333333333333333,30
full_backtest_20260219_130558,US.AMZN,5m,VolatilityRatio_Trend,{},-10.800022834251234,-0.09582436059459254,0.10751600048720589,0.09859154929577464,142
full_backtest_20260219_130558,US.AMZN,1h,VolatilityRatio_Trend,{},-0.6972709052578763,-0.018092291660496307,0.06694276347659253,0.15384615384615385,104
full_backtest_20260219_130558,US.AMZN,1d,VolatilityRatio_Trend,{},-0.22258800763329978,-0.03657643053377169,0.1816340191284268,0.13333333333333333,30
full_backtest_20260219_130558,US.AVGO,5m,VolatilityRatio_Trend,{},-2.60156817093476,-0.06438448742433456,0.11526900331671236,0.06756756756756757,148
full_backtest_20260219_130558,US.AVGO,1h,VolatilityRatio_Trend,{},-0.9396524779470898,-0.025025244957601944,0.07670389683940862,0.16326530612244897,98
full_backtest_20260219_130558,US.AVGO,1d,VolatilityRatio_Trend,{},-0.3592864403105717,-0.06128863132525908,0.20804451431324072,0.19230769230769232,26
full_backtest_20260219_130558,US.COIN,5m,VolatilityRatio_Trend,{},-5.7936392455344246,-0.08638061713753675,0.10968104435713641,0.15492957746478872,142
full_backtest_20260219_130558,US.COIN,1h,VolatilityRatio_Trend,{},-1.1885783348653174,-0.039409196208189834,0.09156669951876839,0.1864406779661017,118
full_backtest_20260219_130558,US.COIN,1d,VolatilityRatio_Trend,{},-0.3053286593413158,-0.05440221289646707,0.26043748096205616,0.19230769230769232,26
full_backtest_20260219_130558,US.CRM,5m,VolatilityRatio_Trend,{},-5.375694779641695,-0.06564373738833507,0.0755877906829448,0.08695652173913043,138
full_backtest_20260219_130558,US.CRM,1h,VolatilityRatio_Trend,{},-1.617865957088203,-0.04306984013687676,0.09545012244633073,0.1509433962264151,106
full_backtest_20260219_130558,US.CRM,1d,VolatilityRatio_Trend,{},0.25804656862030695,0.04098191878887314,0.15249207774741685,0.22727272727272727,22
full_backtest_20260219_130558,US.GOOG,5m,VolatilityRatio_Trend,{},-7.172404257924556,-0.11150824392701653,0.12522434723227605,0.07246376811594203,138
full_backtest_20260219_130558,US.GOOG,1h,VolatilityRatio_Trend,{},-5.5271415589811,-0.10573997258878465,0.12137477335795062,0.16666666666666666,144
full_backtest_20260219_130558,US.GOOG,1d,VolatilityRatio_Trend,{},0.43735821043601597,0.06787276031898237,0.10051249901213799,0.22727272727272727,22
full_backtest_20260219_130558,US.GOOGL,5m,VolatilityRatio_Trend,{},-7.56924513633278,-0.12329551017289908,0.13816463179504349,0.050724637681159424,138
full_backtest_20260219_130558,US.GOOGL,1h,VolatilityRatio_Trend,{},-4.889454246267135,-0.08980258451332312,0.10472525856124267,0.19117647058823528,136
full_backtest_20260219_130558,US.GOOGL,1d,VolatilityRatio_Trend,{},0.47199031322352575,0.07329767092243733,0.09789176921660986,0.22727272727272727,22
full_backtest_20260219_130558,US.META,5m,VolatilityRatio_Trend,{},-1.4164384421413079,-0.034131410739196455,0.0838536540289548,0.075,160
