symbol,strategy,params,sharpe,return,max_dd,total_trades,final_equity
TSLA,RSIStrategy,RSI(14/35/75),0.00042967023802817676,0.00017483243998957243,0.5596705598395638,50,100104.62195218423
TSLA,RSIStrategy,RSI(14/40/70),-0.22253741141091757,-0.08969497960439078,0.7272388520135855,75,46325.38522086457
TSLA,RSIStrategy,RSI(14/40/70),-0.1966228576452146,-0.08068884622025986,0.6751952963745947,66,51714.76980152704
TSLA,RSIStrategy,RSI(14/40/70),-0.2583149897932363,-0.10711679182861238,0.782375016537696,63,35899.95155652878
TSLA,RSIStrategy,RSI(14/40/70),-0.10149399633674322,-0.04240053009047048,0.5794399261568214,65,74626.98437443275
TSLA,RSIStrategy,RSI(14/40/70),-0.05224170198492515,-0.02264297480355268,0.5206547397395924,62,86450.1563477153
TSLA,RSIStrategy,RSI(14/40/70),-0.14784720826589276,-0.06274442942324004,0.6680461940671655,57,62452.93667847381
TSLA,RSIStrategy,RSI(14/40/75),-0.22253741141091757,-0.08969497960439078,0.7272388520135855,75,46325.38522086457
TSLA,RSIStrategy,RSI(14/40/75),-0.1966228576452146,-0.08068884622025986,0.6751952963745947,66,51714.76980152704
TSLA,RSIStrategy,RSI(14/40/75),-0.2583149897932363,-0.10711679182861238,0.782375016537696,61,35899.95155652878
TSLA,RSIStrategy,RSI(14/40/75),-0.10149399633674322,-0.04240053009047048,0.5794399261568214,65,74626.98437443275
TSLA,RSIStrategy,RSI(14/40/75),-0.05224170198492515,-0.02264297480355268,0.5206547397395924,62,86450.1563477153
TSLA,RSIStrategy,RSI(14/40/75),-0.1395601115834687,-0.059188433862146554,0.6567355639939789,55,64580.889577731345
SPY,RSIStrategy,RSI(14/30/70),0.20984661005326782,0.03216804051238923,0.20387292954827776,18,119249.76392566784
SPY,RSIStrategy,RSI(14/30/70),0.05593037379141945,0.008567237856667775,0.25835615003448953,18,105126.74392375199
SPY,RSIStrategy,RSI(14/30/70),0.16885462019965627,0.026789901071729832,0.2547925514515181,18,116031.41699054309
SPY,RSIStrategy,RSI(14/30/70),0.09239664710627019,0.014030428326486297,0.2304173261830119,18,108395.98647473862
SPY,RSIStrategy,RSI(14/30/70),0.16488878565191423,0.027128975714401746,0.25988506297602915,18,116234.3235624277
SPY,RSIStrategy,RSI(14/30/70),0.3057123666859254,0.0520614515165511,0.24786244942002783,18,131154.2336853012
SPY,RSIStrategy,RSI(14/30/75),0.20984661005326782,0.03216804051238923,0.20387292954827776,17,119249.76392566784
SPY,RSIStrategy,RSI(14/30/75),0.05593037379141945,0.008567237856667775,0.25835615003448953,17,105126.74392375199
SPY,RSIStrategy,RSI(14/30/75),0.16885462019965627,0.026789901071729832,0.2547925514515181,17,116031.41699054309
SPY,RSIStrategy,RSI(14/30/75),0.09239664710627019,0.014030428326486297,0.2304173261830119,17,108395.98647473862
SPY,RSIStrategy,RSI(14/30/75),0.16488878565191423,0.027128975714401746,0.25988506297602915,17,116234.3235624277
SPY,RSIStrategy,RSI(14/30/75),0.3057123666859254,0.0520614515165511,0.24786244942002783,17,131154.2336853012
SPY,RSIStrategy,RSI(14/35/70),0.47489816654696015,0.08626428201612074,0.3280691029674749,26,151621.64177790083
